Exposure time,5x400/2.8 + STF8300M,5x400/2.8 + ML50100,5x400/2.8 + ASI1600MM,2xRASA + ML50100
10,21.550258532902454,21.50067221570197,21.720724536033416,22.173170456924677
30,22.61281941866695,22.584427463113997,22.7848528179179,23.0133639414939
100,23.619818545378063,23.625881101366097,23.793954573675222,23.798397942678434
300,24.385334629188357,24.41770837706183,24.56046823050409,24.4475109974838
1000,25.117699437305703,25.16460038630662,25.29279057693884,25.12678919285484
