Exposure time,5x400/2.8 + STF8300M,5x400/2.8 + ML50100,2xRASA + ML50100,5x400/2.8 + ASI1600MM
10,21.96978698007016,21.918191651047007,22.1391470228178,22.756654834316556
30,23.07851985907943,23.04253528427512,23.250216938264305,23.659138850044705
100,24.166341905976427,24.162399708241583,24.342476517905013,24.491078682313066
300,25.000040879365653,25.0285711132214,25.180042339750422,25.16098186903529
1000,25.774028969684124,25.82482979245832,25.956001986366516,25.850040997567486
