Wavelength, Throughput
453.56271801724176, 0.9659120222500504
461.1111872928535, 0.9683438627100599
468.66033226739836, 0.971573027911056
476.2107272849693, 0.9762772438828776
483.76031146382064, 0.9800246701655152
491.30790233081945, 0.981419988462242
498.8564053913779, 0.9838916951593007
506.40450303257654, 0.9858850070117675
513.9519587597888, 0.987120860360297
521.4989414977479, 0.9877985863901356
529.0448431174141, 0.9872005928343957
536.5902717478273, 0.9860444719599649
544.1366801416932, 0.9860444719599649
551.6837304495457, 0.9868019304639023
559.2311186068646, 0.987958051338333
566.7765134523311, 0.986762064226853
574.3215704483309, 0.9851674147448795
581.8681139819836, 0.9853268796930769
589.4143196661697, 0.9850876822707808
596.9556941029846, 0.9791476129504298
604.5005821742513, 0.9773536322832097
612.0489500950231, 0.9796658740320712
619.5963044673954, 0.9807821286694526
627.1419020225418, 0.9798253389802686
634.6864860292886, 0.9776725621796044
642.2329282081013, 0.9777124284166537
649.7797082363804, 0.9781509570241964
657.3256774259401, 0.9776326959425551
664.8705654972067, 0.975838715275335
672.4159603426731, 0.9746427281638549
679.9629430806322, 0.9753204541936936
687.5099258185913, 0.9759981802235324
695.0549490296446, 0.9743636645045095
702.5990600471383, 0.9716527603851547
710.1444548926048, 0.9704567732736746
717.6894443187114, 0.9687823913176026
725.235413508271, 0.9682641302359611
732.7790177515649, 0.9649552325608663
740.321439521726, 0.9602510165890448
746.8369593921635, 0.9580882732291183
