Wavelength, Throughput
454.10981852024196, 0.9361507489128685
462.1507677989763, 0.9391077468191336
472.10144253141, 0.9427025285875343
483.81107491856676, 0.9458624577226608
491.43322475570034, 0.94728297632469
502.28013029315963, 0.9481397970687712
513.71335504886, 0.9489064261555806
525.2442996742672, 0.9498308906426156
535.8058631921824, 0.9478511837655017
543.9674267100977, 0.94728297632469
550.5006979990693, 0.94728297632469
562.05956258725, 0.9508777580930907
579.8501628664495, 0.9469447576099211
594.2736156351791, 0.944577226606539
610.2605863192182, 0.9447576099210824
621.5022801302931, 0.938272829763247
629.7040483946021, 0.9357448864551459
637.4560260586319, 0.9341939120631342
647.6956724057702, 0.9322660653889516
656.5407166123779, 0.930033821871477
664.5615635179153, 0.9266651634723788
673.6277338296882, 0.9244193912063134
679.8762214983714, 0.9224915445321309
696.742671009772, 0.9143179255918829
715.3094462540716, 0.9052987598647126
727.5244299674267, 0.9002254791431793
738.3322475570033, 0.8931003382187148
747.3029315960912, 0.8865388951521985
