Imager,Limiting brightness (time=10s),Limiting brightness (time=30s),Limiting brightness (time=100s),Limiting brightness (time=300s),Limiting brightness (time=1000s)
5 Canon+SBIG(r-band),21.96978698007016,23.07851985907943,24.166341905976427,25.000040879365653,25.774028969684124
5 Canon+SBIG(g-band),21.550258532902454,22.61281941866695,23.619818545378063,24.385334629188357,25.117699437305703
5 Canon+FLI(g-band),21.918191651047007,23.04253528427512,24.162399708241583,25.0285711132214,25.82482979245832
5 Canon+FLI(r-band),21.50067221570197,22.584427463113997,23.625881101366097,24.41770837706183,25.16460038630662
2 RASA+FLI(g-band),22.1391470228178,23.250216938264305,24.342476517905013,25.180042339750422,25.956001986366516
2 RASA+FLI(r-band),21.720724536033416,22.7848528179179,23.793954573675222,24.56046823050409,25.29279057693884
5 Canon+ZWO(g-band),22.756654834316556,23.659138850044705,24.491078682313066,25.16098186903529,25.850040997567486
5 Canon+ZWO(r-band),22.173170456924677,23.0133639414939,23.798397942678434,24.4475109974838,25.12678919285484
